Split,Phase,Epoch,Train_Loss,Train_F1,Test_Loss,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Threshold
60/40,Phase 1: Standard BCE,1,0.8435003498021294,0.7928564075514302,0.2094325278150408,0.9236111111111112,0.9166168980524393,0.9152319902319902,0.9159169901951567,0.4155854
60/40,Phase 1: Standard BCE,2,0.7147777662557714,0.8693392857142856,0.18693015580637412,0.9241666666666667,0.9213502205134004,0.9107142857142858,0.9156320620483777,0.41593865
60/40,Phase 1: Standard BCE,3,0.6839762084624347,0.8762349489776355,0.1877933407300397,0.9277777777777778,0.9294321895424837,0.9107448107448107,0.9189516078754099,0.39586395
60/40,Phase 1: Standard BCE,4,0.6682464887114132,0.8839550242547127,0.1865957236211551,0.9311111111111111,0.929092538077563,0.9184371184371185,0.9233731207189194,0.4339343
60/40,Phase 1: Standard BCE,5,0.6542032364536734,0.890547755113746,0.19353841251710005,0.9255555555555556,0.9188255319148937,0.9172771672771672,0.9180421172453045,0.3865114
60/40,Phase 1: Standard BCE,6,0.6391411655089434,0.8950069949252504,0.17188133279743947,0.935,0.9314643890343022,0.924908424908425,0.9280344450519409,0.36296937
60/40,Phase 1: Standard BCE,7,0.629674140144797,0.9000417321958356,0.17785105841201648,0.9141666666666667,0.9008931554628354,0.9171245421245422,0.907669131119545,0.3730909
60/40,Phase 1: Standard BCE,8,0.6244385382708382,0.9034951813240198,0.15182259371667578,0.9430555555555555,0.9458034648551935,0.9285409035409036,0.9362400883791859,0.40197626
60/40,Phase 1: Standard BCE,9,0.6139723090564504,0.9061543219275099,0.1649010067707614,0.9405555555555556,0.9485369415224358,0.9213064713064714,0.9327568202425014,0.3733743
60/40,Phase 1: Standard BCE,10,0.6115543723106385,0.9085492415245924,0.15854124424227498,0.9369444444444445,0.9517527283429936,0.9123015873015874,0.9278030581924843,0.39735687
60/40,Phase 1: Standard BCE,11,0.607523064402973,0.9034168956043955,0.16063551624354563,0.9386111111111111,0.9385564902901171,0.9256715506715507,0.9315670298620116,0.38380015
60/40,Phase 1: Standard BCE,12,0.6092057477025424,0.9114928012124274,0.15731634813965412,0.9411111111111111,0.9341206584901312,0.9369352869352869,0.9354978078382334,0.33476493
60/40,Phase 1: Standard BCE,13,0.6037406823214363,0.9071208937423432,0.15887168886368735,0.9319444444444445,0.9526112185686654,0.9027777777777778,0.9212807497071457,0.4513618
60/40,Phase 1: Standard BCE,14,0.6003396791570327,0.9126444467212009,0.14230112649761795,0.9463888888888888,0.9447731615776718,0.9367826617826618,0.9405639292341208,0.36913183
60/40,Phase 1: Standard BCE,15,0.5898142267675961,0.909272831395461,0.15571031346917152,0.9416666666666667,0.9421117102201539,0.928937728937729,0.9349602672616827,0.31993178
60/40,Phase 1: Standard BCE,16,0.5886123359203339,0.9175383152522261,0.1462468361776126,0.945,0.9436560056701145,0.9347985347985348,0.9389651615059917,0.3587346
60/40,Phase 1: Standard BCE,17,0.5836613493807176,0.9197617286559594,0.15902206412794298,0.9311111111111111,0.9517497494474114,0.9017704517704518,0.9202979827033768,0.4417474
